id,avatar,zh,en,year
7GCEKP,https://pretalx.com/media/avatars/62351083_2393222774031936_6646824896900890624_o_vKtEhdk.jpg,"{'name': 'Rubin', 'bio': '初級資(全)料(都)庫(包)工程師。\r\n目前在派遣通訊系統公司提供服務。\r\n主要處理資料庫內、資料庫與應用程式間的問題。'}","{'name': 'Rubin', 'bio': '初級資(全)料(都)庫(包)工程師。\r\n目前在派遣通訊系統公司提供服務。\r\n主要處理資料庫內、資料庫與應用程式間的問題。'}",2020
DX3GH7,https://pretalx.com/media/avatars/head_photos_big_head_VRym30r.jpg,"{'name': 'Laurence Chen', 'bio': '講者介紹\r\n* 台灣 Clojure 社群 ( https://clojure.tw/ ) 的重度參與者。\r\n* 現為 REPLWARE ( https://replware.dev ) 的負責人，使用 Clojure 開發軟體。\r\n* 2019 年初在 LINE Taiwan 的廣告事業部門擔任 software contractor 、負責開發 enterprise software system。該系統的 backend 使用 Clojure + Datomic \r\n* 2017 年初開始學習 Clojure programming language。同一年秋季考 Intowow 入職考時，使用 Clojure 來寫 side project，題目是『電影推荐系統』。'}","{'name': 'Laurence Chen', 'bio': 'Laurence Chen started to program in Clojure since 2017, and he is now delivering software solutions in Clojure/ClojureScript/Datomic. He works at REPLWARE (replware.dev) as one man company providing software consulting services.'}",2020
WLAQ9S,https://pretalx.com/media/avatars/PROFILE_YLuK2C9.jpg,"{'name': '向景亘', 'bio': '成大在學生，平常會寫一些小東西，正在朝著系統程式的方向邁進'}","{'name': 'Oscar Shiang', 'bio': '成大在學生，平常會寫一些小東西，正在朝著系統程式的方向邁進'}",2020
MJZKVA,https://www.gravatar.com/avatar/5902b6cc089b10511470de95efbd2a01,"{'name': 'Victor', 'bio': '目前擔任公司裡的全端工程師，使用 PHP Laravel 開發產品，負責系統的開發以及維護。'}","{'name': 'Victor', 'bio': '目前擔任公司裡的全端工程師，使用 PHP Laravel 開發產品，負責系統的開發以及維護。'}",2020
DKUSTN,https://pretalx.com/media/avatars/0_8WxK7xs.jpg,"{'name': '古永忠', 'bio': '古永忠博士長年投入資料庫系統研究、開發及管理的實務工作，致力於推廣基礎的資料庫系統知識。近年作為 PostgreSQL 台灣社群召集人，期望能提供良好的技術交流平台，擴展在地技術紅利。'}","{'name': 'Yung Chung Ku', 'bio': '古永忠博士長年投入資料庫系統研究、開發及管理的實務工作，致力於推廣基礎的資料庫系統知識。近年作為 PostgreSQL 台灣社群召集人，期望能提供良好的技術交流平台，擴展在地技術紅利。'}",2020
BYERL9,https://www.gravatar.com/avatar/93cb237224878742570421a2d6db4a87,"{'name': 'Tzu-Yin Hong', 'bio': ''}","{'name': 'Tzu-Yin Hong', 'bio': ''}",2020
VLQCUW,https://www.gravatar.com/avatar/c36fd3c8e10d86762f62db1c9dc43ff6,"{'name': 'Stevennick', 'bio': '立志要成為一位工程師，或者一位被工程師耽誤的家庭煮夫。由於技能樹不小心點歪，陰錯陽差從前端學起，\r\n在經歷系統與影像串流平台開發後，目前待在維運團隊內持續從事開發工作。\r\n\r\n在沒有寫程式的時候，可以在廚房、游泳池，或是在路跑賽道上找到人。'}","{'name': 'Stevennick', 'bio': '立志要成為一位工程師，或者一位被工程師耽誤的家庭煮夫。由於技能樹不小心點歪，陰錯陽差從前端學起，\r\n在經歷系統與影像串流平台開發後，目前待在維運團隊內持續從事開發工作。\r\n\r\n在沒有寫程式的時候，可以在廚房、游泳池，或是在路跑賽道上找到人。'}",2020
KYRMA3,https://pretalx.com/media/avatars/profile_6xKY5V3.jpg,"{'name': 'Kevin Yang', 'bio': '打雜工'}","{'name': 'Kevin Yang', 'bio': '打雜工'}",2020
8F8AQM,https://www.gravatar.com/avatar/86d3bee674f1962af04b0192f0c959f3,"{'name': 'Tzu-Yin Hong', 'bio': '球魚樹'}","{'name': 'Tzu-Yin Hong', 'bio': '球魚樹'}",2020
ZJFMCT,https://pretalx.com/media/avatars/70740301_1385127551649100_735126636743098368_n_bB6Jsve.jpg,"{'name': 'Hsuan Lee', 'bio': 'Co-founder and CEO of portto.\r\nVP of Engineering at COBINHOOD and DEXON Foundation.'}","{'name': 'Hsuan Lee', 'bio': 'Co-founder and CEO at portto, a company aiming to make blockchain technology simple for users and developers.\r\nVP of Engineering at COBINHOOD and DEXON Foundation. Built a crypto exchange, a new blockchain with its novel consensus algorithm, a blockchain explorer, a few crypto wallets and several developer tools.'}",2020
