id,type,room,start,end,language,zh,en,speakers,tags,co_write,qa,slide,record,uri,year
SWZGFV,f9kzca,TR 616,2023-07-29 12:35:00,2023-07-29 13:05:00,中文,"{'title': '醫資標準的教育推廣', 'description': '醫學資訊標準是發展精準醫療、智慧醫療、全人醫護的基礎，但目前醫資標準化系統研發人才很缺乏。發展醫資標準化系統所需知能並不困難，但其牽涉到醫學、資訊、及標準等多領域知識，大家普遍不熟悉。目前健康醫療有許多應用需求，很值得主動、積極的同學投入參與發展。我們將透過醫資標準入門教育訓練、應用情境討論、標準確立、合作開發系統、聯測、系統模擬評估等系列活動。引導年輕的同學參與標準化醫資系統發展過程。\r\n\r\n### [醫資人才扎根培育系列活動](https://hackmd.io/@VirtualHospitalaaa/BkcsSzlsc)'}","{'title': '醫資標準的教育推廣', 'description': '醫學資訊標準是發展精準醫療、智慧醫療、全人醫護的基礎，但目前醫資標準化系統研發人才很缺乏。發展醫資標準化系統所需知能並不困難，但其牽涉到醫學、資訊、及標準等多領域知識，大家普遍不熟悉。目前健康醫療有許多應用需求，很值得主動、積極的同學投入參與發展。我們將透過醫資標準入門教育訓練、應用情境討論、標準確立、合作開發系統、聯測、系統模擬評估等系列活動。引導年輕的同學參與標準化醫資系統發展過程。\r\n\r\n### [醫資人才扎根培育系列活動](https://hackmd.io/@VirtualHospitalaaa/BkcsSzlsc)'}",['79ZEWQ'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/BJvs7JJsn,,,https://youtu.be/jnI8uJU6dtU,https://coscup.org/2023/session/SWZGFV,2023
ZSZAKG,tzawm1,TR 412-1,2023-07-30 09:30:00,2023-07-30 10:15:00,English,"{'title': 'Open source RISC-V GPGPU', 'description': 'Vortex is an open source Hardware and Software project to support GPGPU based on RISC-V ISA extensions. Currently Vortex supports OpenCL/CUDA and it runs on FPGA. The vortex platform is highly customizable and scalable with a complete open source compiler, driver and runtime software stack to enable research in GPU architectures/compiler/run-time systems.'}","{'title': 'Open source RISC-V GPGPU', 'description': 'Vortex is an open source Hardware and Software project to support GPGPU based on RISC-V ISA extensions. Currently Vortex supports OpenCL/CUDA and it runs on FPGA. The vortex platform is highly customizable and scalable with a complete open source compiler, driver and runtime software stack to enable research in GPU architectures/compiler/run-time systems.'}",['NEHU7J'],"['en', 'Skilled']",https://hackmd.io/@coscup/r1T51yys3,,,https://youtu.be/eLiIKprG_XA,https://coscup.org/2023/session/ZSZAKG,2023
QABLVS,c3l4ao,TR 210,2023-07-30 11:35:00,2023-07-30 12:05:00,English,"{'title': 'Writing MariaDB Plugins in Rust', 'description': 'Rust is a great language for fast and secure code. Databases like MariaDB are great for fetching data. Lets go through a working example on how to use existing [crates](https://docs.rs/udf/latest/udf/all.html) to make some fast and secure SQL functions implemented in Rust.'}","{'title': 'Writing MariaDB Plugins in Rust', 'description': 'Rust is a great language for fast and secure code. Databases like MariaDB are great for fetching data. Lets go through a working example on how to use existing [crates](https://docs.rs/udf/latest/udf/all.html) to make some fast and secure SQL functions implemented in Rust.'}",['FWTSX3'],"['en', 'Skilled']",https://hackmd.io/@coscup/BkzsMyJih,,,https://youtu.be/3KA-_TNv_ro,https://coscup.org/2023/session/QABLVS,2023
DBTWCP,2bczrk,RB 105,2023-07-29 14:50:00,2023-07-29 15:20:00,中文,"{'title': 'BanyanDB: An Optimized Observability DatabaseBanyanDB: An Optimized Observability Database', 'description': ""BanyanDB is an observability database optimized to handle metrics, tracing, and logging data generated by Apache SkyWalking. It improves performance and resource usage for SkyWalking's APM data model. Based on the RUM conjecture, BanyanDB extends SkyWalking's boundary and optimizes the data flow process. During this talk, the speaker will delve into the specifics of BanyanDB, based on their conjecture. He will elaborate on why this particular storage layer is superior in terms of reliability and effectiveness when compared to other options available.""}","{'title': 'BanyanDB: An Optimized Observability DatabaseBanyanDB: An Optimized Observability Database', 'description': ""BanyanDB is an observability database optimized to handle metrics, tracing, and logging data generated by Apache SkyWalking. It improves performance and resource usage for SkyWalking's APM data model. Based on the RUM conjecture, BanyanDB extends SkyWalking's boundary and optimizes the data flow process. During this talk, the speaker will delve into the specifics of BanyanDB, based on their conjecture. He will elaborate on why this particular storage layer is superior in terms of reliability and effectiveness when compared to other options available.""}",['EV8VVJ'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/S1VdbJysh,,,-查無此軌-,https://coscup.org/2023/session/DBTWCP,2023
TP9FSJ,tz574p,TR 513,2023-07-30 09:30:00,2023-07-30 10:00:00,中文,"{'title': '一同創造開放和創新的設計世界', 'description': '說到開源/開放 (Open Source)，耳熟能詳的是開源軟體。開源設計或稱開放設計 (Open Source Design 或 Open Design) 是近三年才開始嶄露頭角。開源設計是一種透過開放和共享的方式，讓人們可以自由地存取、使用、修改和分享設計資源的方法。這種方法不僅可以促進設計師與其他專業人士共同學習、交流合作，促進設計的發展，並且培養人們的創新思維和解決問題的能力。作為一個開源初學者，我踏出了開源專案的第一步，希望能讓更多人看到開源與設計領域的價值，讓我們能夠共同創造更多具有影響力的設計作品，推廣開源和設計的創新與發展。'}","{'title': '一同創造開放和創新的設計世界', 'description': '說到開源/開放 (Open Source)，耳熟能詳的是開源軟體。開源設計或稱開放設計 (Open Source Design 或 Open Design) 是近三年才開始嶄露頭角。開源設計是一種透過開放和共享的方式，讓人們可以自由地存取、使用、修改和分享設計資源的方法。這種方法不僅可以促進設計師與其他專業人士共同學習、交流合作，促進設計的發展，並且培養人們的創新思維和解決問題的能力。作為一個開源初學者，我踏出了開源專案的第一步，希望能讓更多人看到開源與設計領域的價值，讓我們能夠共同創造更多具有影響力的設計作品，推廣開源和設計的創新與發展。'}",['7RL8QB'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/BkwHekksn,,,https://youtu.be/TmAHdE1I1uI,https://coscup.org/2023/session/TP9FSJ,2023
FZ3C8S,zg1wor,AU,2023-07-29 15:30:00,2023-07-29 16:00:00,中文,"{'title': 'Deep dive into Compose Immutable and Stable annotation', 'description': '1. 介紹 Jetpack Compose 與 Declarative UI\r\n2. 介紹 Jetpack Compose 渲染機制與效能考量\r\n3. Immutable 與 Stable 講解以及源碼分析'}","{'title': 'Deep dive into Compose Immutable and Stable annotation', 'description': '1. Introduce Jetpack Compose and Declarative UI\r\n2. Introduce Jetpack Compose rendering mechanism and how it affect performance\r\n3. Looking into the source code of Immutable and Stable annotation'}",['ZZ9AAF'],"['zh-tw', 'Advance']",https://hackmd.io/@coscup/Bk57xkko2,,,https://youtu.be/yKIClL8D8Kw,https://coscup.org/2023/session/FZ3C8S,2023
FUCZYD,r3wchb,TR 412-1,2023-07-29 11:30:00,2023-07-29 12:00:00,中文,"{'title': '你的 RNG 真的 RNG 嗎？ 不只是 rand() 的亂數產生器', 'description': '在產生密碼用於加密各種協議，但隨機產生的數怎麼產生的？這些數字真的夠「隨機」嗎？產生亂數又需要多少時間？\r\n\r\n在這個議程，想跟大家分享討論這些議題\r\n- 運用 LFSR 得到亂數的手法\r\n- Linux 運用哪些資訊來產生亂數？\r\n- Linux 產生亂數的整個架構 ，/dev/random 和 /dev/urandom 對應到內部哪些實作？\r\n- Linux RNG 如何達到 CSPRNG 要求？\r\n- 如何去評估亂數的好壞，如何確保他「夠亂」'}","{'title': '你的 RNG 真的 RNG 嗎？ 不只是 rand() 的亂數產生器', 'description': '在產生密碼用於加密各種協議，但隨機產生的數怎麼產生的？這些數字真的夠「隨機」嗎？產生亂數又需要多少時間？\r\n\r\n在這個議程，想跟大家分享討論這些議題\r\n- 運用 LFSR 得到亂數的手法\r\n- Linux 運用哪些資訊來產生亂數？\r\n- Linux 產生亂數的整個架構 ，/dev/random 和 /dev/urandom 對應到內部哪些實作？\r\n- Linux RNG 如何達到 CSPRNG 要求？\r\n- 如何去評估亂數的好壞，如何確保他「夠亂」'}",['JT8CPG'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/SkvAfJ1i2,,,https://youtu.be/eBVRQoXRQT4,https://coscup.org/2023/session/FUCZYD,2023
EQGB7L,2bczrk,AU,2023-07-30 13:40:00,2023-07-30 14:10:00,English,"{'title': 'Does your Django application have proper security headers?', 'description': 'Django is one of the most popular python frameworks used to create web applications. While a lot of people focus on the Django ORM and the Django templating engine, the Django framework also comes with a neat set of middlewares and plugins that can be used to add security headers to your applications. Security headers are a very important layer of defense for your website to keep your users protected. In this talk, we are going to discuss what the different security headers do, and how can we add them to django.'}","{'title': 'Does your Django application have proper security headers?', 'description': 'Django is one of the most popular python frameworks used to create web applications. While a lot of people focus on the Django ORM and the Django templating engine, the Django framework also comes with a neat set of middlewares and plugins that can be used to add security headers to your applications. Security headers are a very important layer of defense for your website to keep your users protected. In this talk, we are going to discuss what the different security headers do, and how can we add them to django.'}",['TKAHPN'],"['en', 'Skilled']",https://hackmd.io/@coscup/BJS9-y1oh,,,https://youtu.be/q6881zJm5n0,https://coscup.org/2023/session/EQGB7L,2023
SAXWES,33hy7p,TR 211,2023-07-29 10:30:00,2023-07-29 11:00:00,中文,"{'title': '利用 Kong API Gateway 優化微服務：簡化管理並提升安全性', 'description': '在微服務架構下，client side 的應用程式可能由數十個不同的服務組合起來，在處理外部請求時，每個服務都必須考慮驗證授權、Cache、Rate Limiting…等機制，每個服務使用的程式語言與實作的方式不盡相同，容易造成開發及管理成本的上升。\r\n\r\n此時若導入 API Gateway 的模式，由 API Gateway 統一負責處理請求的各項細節，服務本身就可以專注在業務邏輯的開發，管理者也能透過 API Gateway，輕鬆管理和監控系統上 API 運行的情況。\r\n\r\n本次分享以 Kong API Gateway 為例，將示範如何使用 Kong API Gateway 管理 API 並為 API 服務加上驗證授權、Cache、Rate Limiting等機制，並分享Kong不同架構方式及其適用的情境'}","{'title': 'Streamlining Microservices with Kong API Gateway: Simplifying Management and Enhancing Security', 'description': 'In a microservices architecture, client-side applications may be composed of dozens of different services. When handling external requests, each service must consider mechanisms such as authentication, authorization, caching, rate limiting, and more. Additionally, each service may use a different programming language and implementation approach, which can lead to increased development and management costs.\r\n\r\nBy adopting the API Gateway pattern, we can address these challenges. The API Gateway takes on the responsibility of handling request details, allowing services to focus on their business logic. Furthermore, managers can easily manage and monitor the running of APIs in the system through the API Gateway.\r\n\r\nIn this presentation, we will use Kong API Gateway as an example to demonstrate how to manage APIs and incorporate mechanisms such as authentication, authorization, caching, and rate limiting. We will also explore different architectural approaches with Kong and discuss their suitable use cases.'}",['VHBJV3'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/ry8cx1ki2,,,https://youtu.be/YoBmAKCGVRU,https://coscup.org/2023/session/SAXWES,2023
SVTYTE,6aws2r,TR 213,2023-07-30 15:30:00,2023-07-30 16:00:00,中文,"{'title': 'Go to Generics = Go to hell? What I experienced after Generics Introduced into Go', 'description': ""Go 1.18 brought Generics.\r\nWhen we heard this official announcement initially, we thought we could finally write Go programs quickly and run them efficiently. But after one year, the characteristics of Generics suffer us in many ways. It doesn't become Swiss knife as we think.\r\nSo I will share some experiences of using Generics, point out what is going on in the design of Generics, show how to use Generics well, and when to apply Generics.""}","{'title': 'Go to Generics = Go to hell? What I experienced after Generics Introduced into Go', 'description': ""Go 1.18 brought Generics.\r\nWhen we heard this official announcement initially, we thought we could finally write Go programs quickly and run them efficiently. But after one year, the characteristics of Generics suffer us in many ways. It doesn't become Swiss knife as we think.\r\nSo I will share some experiences of using Generics, point out what is going on in the design of Generics, show how to use Generics well, and when to apply Generics.""}",['USGGDS'],"['zh-tw', 'Skilled']",https://hackmd.io/@coscup/ryBybJ1oh,,,https://youtu.be/XfEEQjHxLW8,https://coscup.org/2023/session/SVTYTE,2023
